RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
AA0231,M. hauxwelli,0,3,,,,53,10.6,23-Jul,7,Sacha Huasi,2004
AA0232,M. hauxwelli,0,4,16.5,31.9,19.5,53,11.8,23-Jul,7,Sacha Huasi,2004
AA0233,M. hauxwelli,0,4,15.5,32.2,18.4,54,11.4,23-Jul,7,Sacha Huasi,2004
B0065,G. leucaspis,0,5,20.45,39.9,21.7,76,27.1,23-Jul,8,Sacha Huasi,2004
AA0236,G. spirurus,0,5,,,,66,12.6,23-Jul,8,Sacha Huasi,2004
AA0240,G. spirurus,0,5,,,,76,135,23-Jul,8,Sacha Huasi,2004
A0271,H. leucostica,0,5,,,,58,17.6,23-Jul,8,Sacha Huasi,2004
AA0234,L. coronata,0,3,10.2,25,13.6,59,8,23-Jul,8,Sacha Huasi,2004
AA0238,L. coronata,0,3,,,,59,9,23-Jul,8,Sacha Huasi,2004
AA0239,L. coronata,0,3,,,,57,8.1,23-Jul,8,Sacha Huasi,2004
AA0235,M. axillaris,0,4,,,,54,9,23-Jul,8,Sacha Huasi,2004
AA0237,M. erythrura,0,3,14.21,30.17,18.49,52,11,23-Jul,8,Sacha Huasi,2004
A0268,M. myotherinus,0,3,16.46,,,63,19.5,23-Jul,8,Sacha Huasi,2004
A0270,P. erythrocephala,0,3,13.32,,,57,12.5,23-Jul,8,Sacha Huasi,2004
B,P. malaris,0,5,39.5,55.2,,55,5.8,23-Jul,8,Sacha Huasi,2004
A0269,T. caesius,0,3,,,,77,18.5,23-Jul,8,Sacha Huasi,2004
B0066,A. melanopezus,0,5,21.28,44.07,20.97,85,33,23-Jul,9,Sacha Huasi,2004
AA0241,G. spirurus,0,5,,,,70,14.5,23-Jul,9,Sacha Huasi,2004
AA0242,L. coronata,0,4,,,,56,9.1,23-Jul,9,Sacha Huasi,2004
C1250,L. hypopyrrha,0,5,20.6,47.4,20.7,108,55,23-Jul,9,Sacha Huasi,2004
AA0243,M. oleagineus,0,5,,,,60,10,23-Jul,9,Sacha Huasi,2004
R,P. malaris,0,5,,,,60,6.8,23-Jul,9,Sacha Huasi,2004
A0273,E. xanthogaster,0,4,12.2,26.3,15.9,59,12,23-Jul,10,Sacha Huasi,2004
A0274,E. xanthogaster,0,3,8.6,25.8,14.6,61,11.5,23-Jul,10,Sacha Huasi,2004
