RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
C1330,A. rubiginosus,1,5,24.3,47.2,28.8,84,35.8,29-Jun,11,Pacca Huasi,2009
AA0915,M. axillaris,0,4,16.2,29.8,17.9,52,9.2,29-Jun,11,Pacca Huasi,2009
A0833,L. coronata,0,3,10.6,25.2,13.8,61,8.6,01-Jul,8,Pacca Huasi,2009
C1333,R. melanosticta,0,3,19.4,39.3,30.8,81,31.5,01-Jul,8,Pacca Huasi,2009
C1334,R. melanosticta,0,4,18.4,39.3,30.8,76,32,01-Jul,8,Pacca Huasi,2009
B0255,X. spixii,1,5,32.8,55.9,20.9,102,41,01-Jul,8,Pacca Huasi,2009
B0357,P. erythrocercus,0,5,21.9,44.1,23.1,88,34,01-Jul,8,Pacca Huasi,2009
B0356,M. myotherinus,0,3,19.5,37.2,26.9,66,20.5,01-Jul,8,Pacca Huasi,2009
B0358,F. colma,0,5,19.8,43.1,33.5,89,43.5,01-Jul,9,Pacca Huasi,2009
HBA44022,P. malaris,1,5,45.8,55.8,,61,6.8,01-Jul,10,Pacca Huasi,2009
HBA44158,P. malaris,0,5,45.2,57.2,,61,6.3,01-Jul,10,Pacca Huasi,2009
AA0916,M. hauxwelli,0,3,15.2,32.9,22.2,56,12.5,01-Jul,10,Pacca Huasi,2009
AA0917,M. hauxwelli,0,4,14.5,31.9,22.7,51,13,01-Jul,10,Pacca Huasi,2009
B0359,H. subulatus,0,4,22.7,45,20.8,81,25.5,01-Jul,10,Pacca Huasi,2009
AA0918,M. olivaceus,0,5,12.8,31.1,19.5,70,15,03-Jul,7,Bigay,2009
A0834,L. coronata,0,2,11.2,27.9,14.6,59,10.6,03-Jul,7,Bigay,2009
HBA44159,P. malaris,0,5,43.3,56,,58,6.4,03-Jul,7,Bigay,2009
B0360,P. erythrocercus,0,5,23.3,44,25,92,34,03-Jul,7,Bigay,2009
AA0919,G. spirurus,0,5,11.9,29,16.8,76,13.8,03-Jul,7,Bigay,2009
C1335,M. fusca,0,5,27.8,51.7,20.9,86,40.5,03-Jul,7,Bigay,2009
C1336,M. fusca,0,5,28,54.3,18.9,90,43,03-Jul,7,Bigay,2009
B0361,H. subulatus,0,5,24.1,45.3,22,82,29,03-Jul,7,Bigay,2009
A0835,L. coronata,0,2,10.8,26.5,15.6,60,10,03-Jul,8,Bigay,2009
HBA44160,P. malaris,0,5,25.3,58.3,,61,10,03-Jul,8,Bigay,2009
A0836,L. coronata,0,2,9.9,25.6,14.6,60,9.4,03-Jul,8,Bigay,2009
A0837,L. coronata,0,3,9.8,25,14.9,62,8.5,03-Jul,8,Bigay,2009
A0838,L. coronata,0,3,9.2,25.7,15.8,63,8.6,03-Jul,8,Bigay,2009
A0839,T. ardesiacus,0,3,17.7,37.1,19.3,72,18,03-Jul,9,Bigay,2009
HBA44161,T. niger,0,5,36,49.7,,62,6.9,03-Jul,10,Bigay,2009
AA0920,G. spirurus,0,4,12,28.6,15.4,66,14.6,03-Jul,10,Bigay,2009
AA0921,M. axillaris,0,4,15.3,31.4,17,52,10.3,03-Jul,10,Bigay,2009
B0362,H. subulatus,0,4,23.5,45.8,19.1,79,28,03-Jul,10,Bigay,2009
AA0922,M. axillaris,0,3,15.1,30.2,16.8,57,9.2,03-Jul,10,Bigay,2009
A0840,L. coronata,0,3,9.8,24.8,15.6,61,8.2,04-Jul,7,Bigay,2009
B0363,D. fuliginosa,0,5,30.8,54.2,27.3,114,48,04-Jul,7,Bigay,2009
AA0923,H. leucostica,0,5,16.5,34,21.6,55,14.8,04-Jul,7,Bigay,2009
A0841,H. leucostica,0,5,17.8,37.1,22.8,58,16.6,04-Jul,7,Bigay,2009
A0842,P. albifrons,0,1,18,35.6,22.2,72,18.5,04-Jul,7,Bigay,2009
C1337,T. lawrencii,0,4,21.9,47.7,27.4,112,59,04-Jul,7,Bigay,2009
A0843,X. minutus,0,5,15.7,31.2,16,60,11.6,04-Jul,7,Bigay,2009
A0845,H. poecilinota,0,5,18.2,37,23.1,66,,04-Jul,7,Bigay,2009
A0844,L. coronata,0,2,11,27.4,15.1,59,9.7,04-Jul,7,Bigay,2009
HBA44159,P. malaris,1,5,,,,,6,04-Jul,7,Bigay,2009
HBA44162,E. condamini,0,5,27.4,40,,70,11.3,04-Jul,7,Bigay,2009
A0846,L. coronata,0,3,9.2,24.9,15.4,60,7.8,04-Jul,8,Bigay,2009
B0364,H. rubica,0,3,20.7,37.4,23.2,93,34,04-Jul,8,Bigay,2009
A0847,P. albifrons,0,5,16.7,34.4,23.6,69,19.5,04-Jul,8,Bigay,2009
A0848,X. minutus,0,5,14.1,30.7,15.3,65,12.6,04-Jul,8,Bigay,2009
A0849,L. coronata,0,3,10.8,25.4,15.3,57,8.4,04-Jul,8,Bigay,2009
A0850,P. albifrons,0,5,16.5,34.8,22.5,73,,04-Jul,8,Bigay,2009
A0851,T. ardesiacus,0,3,17.6,36.6,19.1,74,18.5,04-Jul,8,Bigay,2009
AA0924,M. regulus,0,2,10.2,25.6,15.7,53,10.8,04-Jul,8,Bigay,2009
AA0925,M. erythrura,0,3,15,30.6,16.9,54,10.2,04-Jul,9,Bigay,2009
A0852,E. xanthogaster,0,3,10.3,26.6,16.4,62,14.4,04-Jul,9,Bigay,2009
AA0926,M. erythrura,0,4,15.3,29.7,16.8,54,11.2,04-Jul,9,Bigay,2009
A0855,T. ardesiacus,0,4,19.3,36.2,18.7,71,23,04-Jul,9,Bigay,2009
A0853,H. ochraceiceps,0,3,13.9,31.5,17.3,61,13.4,04-Jul,9,Bigay,2009
A0854,L. coronata,0,3,9.9,24.9,14.3,60,8.6,04-Jul,9,Bigay,2009
A0856,P. albifrons,0,1,20.9,33.7,24.2,70,19,04-Jul,10,Bigay,2009
A0857,T. assimilis,0,5,15.5,32.6,16.3,65,16.4,04-Jul,10,Bigay,2009
AA0927,G. spirurus,0,5,12.9,29.9,17.4,70,14,04-Jul,10,Bigay,2009
AA0928,M. hauxwelli,0,3,16.3,31.6,22.3,66,,04-Jul,10,Bigay,2009
A0858,H. leucostica,0,5,17.8,35.3,22.3,53,14.8,05-Jul,7,Bigay,2009
B0365,P. erythrocercus,0,5,23.5,46.1,24.5,91,39,05-Jul,7,Bigay,2009
HBA44163,P. malaris,0,5,47.4,59.1,,64,6.8,05-Jul,7,Bigay,2009
B0366,C. cyanoides,0,3,18.6,34.5,19.3,83,34,05-Jul,8,Bigay,2009
HBA44164,P. bourcieri,0,5,35.5,47.4,,67,4.6,05-Jul,8,Bigay,2009
A0859,L. coronata,0,2,10.7,26.4,14.1,59,10,05-Jul,8,Bigay,2009
A0860,L. coronata,0,2,11.2,26.8,14.9,59,10.2,05-Jul,8,Bigay,2009
A0861,L. coronata,0,2,11.3,27.1,15.4,60,9.8,05-Jul,8,Bigay,2009
A0863,H. poecilinota,0,4,18.7,36.4,24.8,69,18.5,05-Jul,8,Bigay,2009
B0367,H. rubica,0,3,17.4,38.4,24.2,93,32.5,05-Jul,9,Bigay,2009
HBA44165,T. niger,0,5,35.1,49.4,,64,6.2,05-Jul,9,Bigay,2009
HBA44166,P. atrimentalis,0,5,27,36.6,,37,2.8,05-Jul,10,Bigay,2009
HBA44167,P. malaris,0,5,44.8,58.4,,58,6.9,05-Jul,10,Bigay,2009
HBA44168,C. aenea,0,4,31.6,50.8,8.8,60,14.2,05-Jul,10,Bigay,2009
A0863,E. xanthogaster,0,4,9.9,26,9.3,60,13.5,05-Jul,10,Bigay,2009
AA0929,M. regulus,0,2,11.2,25.8,15.8,54,10.4,05-Jul,10,Bigay,2009
A0925,M. erythrura,1,4,,,,,9.9,05-Jul,10,Bigay,2009
A0864,M. marginatus,0,5,20.2,38.1,25.4,56,17.6,06-Jul,7,Bigay,2009
AA0930,G. spirurus,0,5,13.4,30.4,17.4,73,13.2,06-Jul,7,Bigay,2009
HBA44169,P. malaris,0,5,46.2,61.2,,65,6.4,06-Jul,7,Bigay,2009
C1338,P. erythroptera,0,4,21.5,42.7,33.8,94,54,06-Jul,7,Bigay,2009
A0865,P. albifrons,0,5,28.9,35.9,22.4,72,19,06-Jul,7,Bigay,2009
A0850,P. albifrons,1,,,,,,20.5,06-Jul,8,Bigay,2009
A0866,M. marginatus,0,5,18.7,38.6,22.5,60,17.5,06-Jul,8,Bigay,2009
A0868,P. albifrons,0,5,14.6,34.6,25.4,70,20.5,06-Jul,8,Bigay,2009
A0867,L. coronata,0,2,10.5,26.5,14.5,59,9.1,06-Jul,8,Bigay,2009
A0869,C. torquata,0,1,14.6,33.6,25.4,64,15,08-Jul,7,Bigay,2009
A0851,T. ardesiacus,1,3,,,,,47.5,08-Jul,7,Bigay,2009
AA0931,H. naevia,0,3,15,33.6,24.2,60,13,08-Jul,7,Bigay,2009
A0870,H. leucostica,0,5,16.8,34.7,22.8,61,16.4,08-Jul,7,Bigay,2009
B0369,X. ocellatus,0,5,35,63.1,24.5,110,43,08-Jul,7,Bigay,2009
HBA44170,E. condamini,0,5,23.7,40.4,,73,11.1,08-Jul,7,Bigay,2009
B0368,X. ocellatus,0,5,33.5,56.2,23.3,99,37,08-Jul,8,Bigay,2009
B0370,T. caesius,0,3,18,35.4,20.3,69,18,08-Jul,8,Bigay,2009
A0877,H. ochraceiceps,0,5,16.6,31.4,18.2,60,12.6,08-Jul,8,Bigay,2009
A0853,H. ochraceiceps,1,5,,,,,13.3,08-Jul,8,Bigay,2009
AA0932,M. regulus,0,2,10.1,25.8,14.5,59,10.1,08-Jul,8,Bigay,2009
B0371,M. myotherinus,0,3,17.9,35.5,25.3,62,19.5,08-Jul,8,Bigay,2009
AA0933,M. axillaris,0,3,15.2,30,16.4,56,8.9,08-Jul,8,Bigay,2009
A0872,H. poecilinota,0,3,19.7,38.2,23.8,61,17,08-Jul,8,Bigay,2009
A0874,H. poecilinota,0,4,17.8,37.1,24.7,67,19.5,08-Jul,8,Bigay,2009
A0873,H. poecilinota,0,4,19.3,36,26,63,17,08-Jul,8,Bigay,2009
AA0934,M. hauxwelli,0,4,14.7,29.7,19.9,55,11.8,08-Jul,8,Bigay,2009
AA0935,G. spirurus,0,5,12.5,30,18.2,76,15.5,08-Jul,8,Bigay,2009
B0372,P. pyrrhodes,0,5,21.4,41.6,23.3,93,34.5,08-Jul,8,Bigay,2009
A0875,H. poecilinota,0,3,17.7,38,26.8,69,19,08-Jul,9,Bigay,2009
B0375,P. erythrocercus,0,5,21.1,46.1,26.3,90,38,08-Jul,9,Bigay,2009
A0876,T. ardesiacus,0,6,20.1,37.4,18.8,71,18,08-Jul,10,Bigay,2009
HBA44171,T. furcata,0,3,23.8,34.6,,58,4.4,08-Jul,10,Bigay,2009
A0877,C. torquata,0,1,16.7,33.6,27.3,71,16.5,08-Jul,10,Bigay,2009
A0878,L. coronata,0,2,10.2,25.6,15.4,59,8.7,08-Jul,10,Bigay,2009
A0879,P. erythrocephala,0,2,13.5,31,13.6,62,12.6,08-Jul,10,Bigay,2009
C1339,T. albicollis,0,5,18.1,44.3,36.6,104,54,08-Jul,10,Bigay,2009
B0374,G. leucaspis,0,3,20,28.1,25.8,72,25.5,09-Jul,7,Bigay,2009
HBA44180,C. inda,0,4,50.6,81,10.3,97,51,09-Jul,7,Bigay,2009
C1339,T. albicollis,1,5,,,,,54.5,09-Jul,8,Bigay,2009
AA0936,M. regulus,0,2,10.6,25.9,14.6,51,10.2,09-Jul,9,Bigay,2009
HBA44172,P. bourcieri,0,5,34.1,47.4,,52,4.2,09-Jul,9,Bigay,2009
A0880,L. coronata,0,2,11.8,27.4,14.8,52,10.2,09-Jul,10,Bigay,2009
AA0937,M. regulus,0,2,10.6,26.9,14.9,59,10,09-Jul,10,Bigay,2009
B0375,M. myotherinus,0,4,17.2,36.4,23.9,67,22,10-Jul,7,Bigay,2009
B0369,X. ocellatus,1,,,,,,42,10-Jul,7,Bigay,2009
AA0938,G. spirurus,0,5,12.8,29.2,17.4,68,13.1,10-Jul,7,Bigay,2009
B0376,H. rubica,0,3,17.7,38.9,22.2,92,34,10-Jul,7,Bigay,2009
B0377,C. arada,0,5,21.3,39.4,25.5,66,21.5,10-Jul,7,Bigay,2009
AA0939,M. regulus,0,2,10.5,25.4,16.3,52,10.2,10-Jul,7,Bigay,2009
A0891,H. poecilinota,0,3,17.3,36.5,24.6,68,18,10-Jul,7,Bigay,2009
B0378,D. fuliginosa,0,1,28,51.4,26.5,115,44,10-Jul,8,Bigay,2009
AA0940,G. spirurus,0,5,13.7,20.4,20.2,72,14.6,10-Jul,8,Bigay,2009
A0882,L. coronata,0,3,9.9,25.6,14.3,59,8.5,10-Jul,9,Bigay,2009
C1340,T. albicollis,0,5,20.6,42.6,28.4,104,42.5,10-Jul,9,Bigay,2009
A0883,P. albifrons,0,5,14.6,34.5,20.4,69,20.5,10-Jul,9,Bigay,2009
AA0941,M. axillaris,0,3,15.8,29.7,16.7,56,8.8,10-Jul,9,Bigay,2009
A0884,H. ochraceiceps,0,5,16.8,32.2,17.2,61,13.2,10-Jul,9,Bigay,2009
A0886,M. manacus,0,3,13.4,30.4,20,53,19.5,11-Jul,7,Bigay,2009
A0885,L. coronata,0,2,11,26.7,14.4,59,10.2,11-Jul,7,Bigay,2009
AA0942,M. regulus,0,3,8.9,26,15.5,52,11,11-Jul,7,Bigay,2009
HBA44174,P. hispidus,0,5,24.4,37.1,,59,,11-Jul,7,Bigay,2009
C1341,R. melanosticta,0,4,19.5,39.1,26.4,81,30.5,11-Jul,7,Bigay,2009
A0887,H. poecilinota,0,4,17.7,37.8,25.2,68,18,11-Jul,7,Bigay,2009
B0379,G. leucaspis,0,7,19.2,58.1,28.1,73,25.5,11-Jul,7,Bigay,2009
B0380,M. myotherinus,0,4,17.7,35.5,24.4,62,18,11-Jul,7,Bigay,2009
HBA44173,P. atrimentalis,0,5,26.8,35.7,,41,2.6,11-Jul,7,Bigay,2009
AA0943,M. axillaris,0,3,15.6,30.1,16.6,55,8.3,11-Jul,7,Bigay,2009
AA0944,M. axillaris,0,3,16.6,29.7,15.4,55,8.9,11-Jul,7,Bigay,2009
AA0945,M. regulus,0,2,10.5,25.8,14.5,51,10,11-Jul,7,Bigay,2009
AA0946,M. oleagineus,0,5,12,26.5,15.2,61,10.6,11-Jul,7,Bigay,2009
B0381,D. fuliginosa,0,5,30.1,52.3,28,105,41,11-Jul,8,Bigay,2009
HBA44175,T. niger,0,5,35.8,49.7,,61,6.4,11-Jul,8,Bigay,2009
A0888,P. erythrocephala,0,2,13.7,29,15.2,63,14.6,11-Jul,9,Bigay,2009
HBA44176,C. aenea,0,3,30.4,48.5,8.4,53,12.6,11-Jul,9,Bigay,2009
B0382,T. surinamus,0,3,14.9,32.2,17.9,82,18.6,11-Jul,10,Bigay,2009
C1342,R. melanosticta,0,3,20.8,39.8,29.1,78,29.5,14-Jul,6,Bigay,2009
AA0947,G. spirurus,0,5,12.7,28.9,16.3,66,12.8,14-Jul,7,Bigay,2009
B0383,G. leucaspis,0,3,19.6,36.4,23.4,72,22,14-Jul,7,Bigay,2009
A0889,P. albifrons,0,1,17.8,35,23.1,68,17,14-Jul,8,Bigay,2009
A0890,P. albifrons,0,5,16.9,35.2,23.7,70,19,14-Jul,8,Bigay,2009
AA0948,M. regulus,0,3,9.6,26.3,17.5,54,11,14-Jul,8,Bigay,2009
A0891,P. albifrons,0,5,15.5,35.3,25.6,69,20,14-Jul,8,Bigay,2009
A0892,L. coronata,0,2,10.9,27.3,14.4,60,10.2,14-Jul,9,Bigay,2009
A0893,L. coronata,0,2,11,27,14.4,57,10.4,14-Jul,10,Bigay,2009
AA0949,H. naevia,0,3,17,34.8,23.3,61,14,14-Jul,10,Bigay,2009
B0383,G. leucaspis,1,3,,,,,,14-Jul,10,Bigay,2009
B0384,G. leucaspis,0,4,18.3,35.3,25.5,73,27,14-Jul,10,Bigay,2009
HBA44177,T. niger,0,5,34.9,49.8,,64,6.8,14-Jul,10,Bigay,2009
A0894,P. erythrocephala,0,2,9.8,26.6,16.1,62,10.4,15-Jul,7,Bigay,2009
A0895,H. ochraceiceps,0,5,14,31.4,18.9,64,12,15-Jul,7,Bigay,2009
HBA44178,G. hirsuta,0,3,34.1,44.8,,67,7.6,15-Jul,7,Bigay,2009
AA0950,G. spirurus,0,5,14,31.1,18.5,70,14,15-Jul,7,Bigay,2009
A0896,H. ochraceiceps,0,5,14.1,20.2,19.8,59,13.4,15-Jul,7,Bigay,2009
A0897,T. ardesiacus,0,4,16.8,36.8,22.3,70,17,15-Jul,7,Bigay,2009
A0898,M. manacus,0,2,12.3,30.7,20.6,58,15.8,15-Jul,7,Bigay,2009
A0899,L. coronata,0,2,10.3,26,15,63,9.7,15-Jul,8,Bigay,2009
HBA44179,P. malaris,0,5,,,,,,15-Jul,8,Bigay,2009
A0900,P. erythrocephala,0,2,12.7,28.9,14.2,62,12.8,15-Jul,8,Bigay,2009
B0385,H. rubica,0,3,17.6,38.2,23.4,91,31,15-Jul,8,Bigay,2009
B0386,X. ocellatus,0,5,32.8,52.9,23.3,102,35.5,15-Jul,8,Bigay,2009
B0387,H. rubica,0,7,18.1,37.7,22.3,85,29.5,15-Jul,8,Bigay,2009
AA0951,M. longipennis,0,3,15.3,30.3,15.6,64,9.4,15-Jul,8,Bigay,2009
A0901,L. coronata,0,2,11.1,27.2,16,61,11,15-Jul,9,Bigay,2009
C1343,T. albicollis,0,5,19.2,43.4,27.4,110,45,15-Jul,9,Bigay,2009
HBA44181,T. niger,0,5,33.1,47.4,,58,5.9,15-Jul,10,Bigay,2009
HBA44182,T. niger,0,5,36,48.9,,65,5.9,15-Jul,10,Bigay,2009
A0855,T. ardesiacus,1,4,,,,,18,16-Jul,6,Bigay,2009
A0850,P. albifrons,1,5,,,,,19.5,16-Jul,6,Bigay,2009
AA0953,G. spirurus,0,5,13.7,29.3,17.9,70,11.6,16-Jul,7,Bigay,2009
AA0927,G. spirurus,1,5,,,,,14,16-Jul,7,Bigay,2009
B0364,H. rubica,1,3,,,,,34.5,16-Jul,8,Bigay,2009
AA0952,T. erythrurus,0,5,10.8,25,15.6,51,8.5,16-Jul,8,Bigay,2009
AA0954,T. erythrurus,0,5,11.1,26.1,16.3,55,8.3,16-Jul,8,Bigay,2009
HBA44160,P. malaris,1,5,,,,,7.2,16-Jul,8,Bigay,2009
A0838,L. coronata,1,3,,,,,8.8,16-Jul,9,Bigay,2009
AA0938,G. spirurus,1,5,,,,,14,16-Jul,9,Bigay,2009
AA0918,M. olivaceus,1,5,,,,,15.5,16-Jul,9,Bigay,2009
B0378,D. fuliginosa,1,1,,,,,43.5,16-Jul,10,Bigay,2009
A0902,S. leucostigma,0,7,19.7,40.9,25.8,68,27,01-Sep,6,San Jose,2009
AA0955,M. oleagineus,0,5,11,27.9,14.5,61,9.7,01-Sep,7,San Jose,2009
HBA44111,P. malaris,1,5,46.4,58.5,,60,6.3,01-Sep,7,San Jose,2009
AA0956,M. olivaceus,0,5,14.3,31.4,15.3,64,11.9,01-Sep,7,San Jose,2009
AA0957,M. oleagineus,0,5,12.8,27.6,14.2,60,9.3,01-Sep,7,San Jose,2009
AA0958,M. axillaris,0,4,14.3,28.7,15.2,54,8.6,01-Sep,7,San Jose,2009
AA0959,M. axillaris,0,3,14.7,30.3,15.6,52,9.7,01-Sep,7,San Jose,2009
AA0960,M. oleagineus,0,5,11.5,27.7,14.5,60,10.6,01-Sep,8,San Jose,2009
AA0961,M. oleagineus,0,5,12.7,29.3,14.8,59,10.1,01-Sep,9,San Jose,2009
HBA44135,P. malaris,1,5,43.3,56.5,,58,6.1,01-Sep,10,San Jose,2009
A0903,P. albifrons,0,5,17.6,36.5,21.3,71,19.7,02-Sep,6,San Jose,2009
AA0962,M. regulus,0,2,9.9,27,18,53,10.1,02-Sep,6,San Jose,2009
AA0963,M. regulus,0,2,8.8,25.6,15.8,50,10.5,02-Sep,6,San Jose,2009
D0023,M. momota,0,4,43.9,75.4,27.2,132,115,02-Sep,6,San Jose,2009
B0388,P. stellaris,0,6,18.6,40.9,21.8,68,21.7,02-Sep,7,San Jose,2009
AA0964,M. oleagineus,0,5,10.6,28.9,16.5,59,10.2,02-Sep,7,San Jose,2009
A0904,L. coronata,0,2,10.7,25.7,14.3,56,10,02-Sep,7,San Jose,2009
AA0965,M. regulus,0,3,9,25.5,14.7,54,10.6,02-Sep,8,San Jose,2009
HBA44111,P. malaris,1,5,,,,,6.8,02-Sep,9,San Jose,2009
C1344,T. albicollis,0,5,21,43,30,101,47,04-Sep,7,San Jose,2009
AA0966,G. spirurus,0,5,12.3,30.1,16.2,68,15.2,04-Sep,8,San Jose,2009
AA0967,M. regulus,0,2,7.8,25.2,11.9,55,9.7,04-Sep,8,San Jose,2009
AA0968,M. regulus,0,3,8.7,24.6,14.2,55,11.6,04-Sep,8,San Jose,2009
A0905,L. coronata,0,2,10,24.7,16.1,59,9.3,04-Sep,9,San Jose,2009
A0906,H. poecilinota,0,4,21.4,40.1,23.3,65,18.1,04-Sep,9,San Jose,2009
A0907,L. coronata,0,3,10.2,24.9,15,62,8,04-Sep,10,San Jose,2009
AA0969,M. oleagineus,0,5,12.5,28.7,14.1,63,10.4,04-Sep,10,San Jose,2009
AA0876,M. oleagineus,1,5,12.2,29,15,63,11.2,04-Sep,10,San Jose,2009
A0908,M. marginatus,0,5,18.8,38.5,24.5,60,18.5,05-Sep,7,San Jose,2009
AA0970,G. spirurus,0,5,13,28.9,19.8,68,13.3,05-Sep,7,San Jose,2009
HBA44184,P. malaris,0,5,45,56.3,,65,6.5,05-Sep,9,San Jose,2009
HBA44183,P. malaris,0,5,41.5,53.1,,62,5.7,05-Sep,9,San Jose,2009
A0909,M. manacus,0,2,13,30.2,19.5,56,16.2,05-Sep,9,San Jose,2009
HBA44185,P. malaris,0,5,45.1,56.4,,60,,05-Sep,10,San Jose,2009
A0910,L. coronata,0,2,10,26.4,14.9,59,9.7,06-Sep,7,San Jose,2009
HBA44186,E. condamini,0,5,23.5,38.6,,71,10.8,06-Sep,7,San Jose,2009
AA0687,L. coronata,1,4,10.1,26.4,14.4,60,9.6,06-Sep,7,San Jose,2009
A0911,L. coronata,0,2,9.9,24.4,15,58,8.4,06-Sep,7,San Jose,2009
HBA44187,P. malaris,0,5,44.7,54.5,,57,7.6,06-Sep,7,San Jose,2009
AA0971,G. spirurus,0,5,13,29.9,18.8,70,14,06-Sep,7,San Jose,2009
AA0691,G. spirurus,1,5,11.3,30.7,17.1,75,14.8,06-Sep,7,San Jose,2009
A0912,H. poecilinota,0,4,18.9,38.3,22.4,65,17.1,06-Sep,8,San Jose,2009
HBA44188,P. malaris,0,5,42.9,56,,65,6.2,06-Sep,8,San Jose,2009
AA0442,G. spirurus,1,5,12.5,30.1,16.6,74,16.6,06-Sep,8,San Jose,2009
AA0972,M. regulus,0,2,10.5,26.2,18.3,55,10.8,06-Sep,8,San Jose,2009
AA0696,L. coronata,1,3,10.3,25.3,14.4,60,8,06-Sep,9,San Jose,2009
B0389,C. cyanoides,0,4,15.8,34.5,20.3,74,23.4,06-Sep,9,San Jose,2009
A0913,L. coronata,0,2,11.5,27.1,16.2,57,10.5,06-Sep,10,San Jose,2009
A0774,P. filicauda,1,3,10,29,16.6,68,14.2,07-Sep,6,San Jose,2009
A0914,T. ardesiacus,0,3,21,37.6,19,73,18,07-Sep,6,San Jose,2009
AA0698,G. spirurus,1,5,14.2,32.4,17.4,73,15.2,07-Sep,6,San Jose,2009
A0498,P. filicauda,1,3,9.8,30.1,16.2,67,14.5,07-Sep,7,San Jose,2009
A0915,L. coronata,0,2,9.8,25.2,16.2,60,9.4,07-Sep,7,San Jose,2009
AA0973,M. oleagineus,0,5,11.9,28.7,17.4,60,10.4,07-Sep,7,San Jose,2009
A0916,H. naevia,0,3,14.9,34.8,21.5,62,13.5,07-Sep,7,San Jose,2009
HBA44189,P. bourcieri,0,5,34.1,47,,62,,07-Sep,7,San Jose,2009
A0642,P. filicauda,1,3,9.3,29,18,69,13,07-Sep,7,San Jose,2009
B0390,N. brunnea,0,5,26.5,46.2,12.9,69,18.2,07-Sep,7,San Jose,2009
HBA44190,P. malaris,0,5,40.3,52.5,,58,6.3,07-Sep,8,San Jose,2009
AA0974,M. oleagineus,0,5,9,28.4,13.8,64,11,07-Sep,8,San Jose,2009
AA0975,M. oleagineus,0,5,12,28.1,16.4,58,10.5,07-Sep,8,San Jose,2009
AA0976,G. spirurus,0,5,12.6,29.7,21.4,71,14.6,07-Sep,8,San Jose,2009
A0917,P. filicauda,0,2,9.8,29.9,15.8,65,,07-Sep,9,San Jose,2009
B0334,D. fuliginosa,1,5,29.2,54.6,26.1,110,43,07-Sep,10,San Jose,2009
B0391,F. colma,0,5,17.9,44.5,32.1,88,44,07-Sep,10,San Jose,2009
HBA44190,P. malaris,1,5,,,,,6.3,08-Sep,6,San Jose,2009
B0309,C. cyanoides,1,3,16.5,34.8,17.7,79,22.3,08-Sep,6,San Jose,2009
A0918,L. coronata,0,3,8.4,25.7,14.3,62,8.4,08-Sep,6,San Jose,2009
A0919,T. ardesiacus,0,3,17.8,37.2,18.6,71,17.2,08-Sep,7,San Jose,2009
A0920,P. albifrons,0,5,18.3,35.1,22.9,77,21,08-Sep,7,San Jose,2009
HBA44144,P. malaris,1,5,43.7,59.6,,64,7,08-Sep,7,San Jose,2009
AA0977,G. spirurus,0,5,15.2,20.6,16.8,69,13.2,08-Sep,7,San Jose,2009
A0921,P. albifrons,0,5,16.7,34.4,28.6,68,21,08-Sep,7,San Jose,2009
A0922,M. marginatus,0,5,18.2,38,27.2,59,,08-Sep,7,San Jose,2009
E0004,L. schistacea,0,5,36.8,73.3,85.6,283,493,08-Sep,7,San Jose,2009
AA0853,L. coronata,1,3,9.8,24.5,15.6,61,8.8,08-Sep,8,San Jose,2009
HBA44011,P. malaris,1,5,44.8,59.7,,61,6.4,08-Sep,9,San Jose,2009
A0649,E. xanthogaster,1,3,9.7,27.2,17.1,68,15.8,08-Sep,9,San Jose,2009
A0923,P. albifrons,0,5,15.5,33.7,26.5,69,21,08-Sep,9,San Jose,2009
A0924,P. albifrons,0,5,17.5,34.8,25.1,73,20,08-Sep,9,San Jose,2009
AA0978,M. oleagineus,0,5,11.9,28.5,15.8,65,11.4,09-Sep,6,San Jose,2009
AA0979,M. olivaceus,0,5,14.4,32.2,18.3,,,09-Sep,6,San Jose,2009
A0925,H. poecilinota,0,4,16.2,35.1,22.9,63,17,09-Sep,6,San Jose,2009
AA0980,M. axillaris,0,3,15,29.7,16.3,52,9.4,09-Sep,7,San Jose,2009
A0926,H. poecilinota,0,4,16.5,37.1,28.5,69,18,09-Sep,7,San Jose,2009
A0927,H. poecilinota,0,3,18.3,36.9,23.9,69,18,09-Sep,7,San Jose,2009
A0923,P. albifrons,1,5,,,,,,09-Sep,7,San Jose,2009
B0392,C. arada,0,1,18.8,37.3,23.9,68,25,09-Sep,8,San Jose,2009
B0393,C. arada,0,1,19.1,38.2,24.3,67,25.5,09-Sep,8,San Jose,2009
B0394,C. arada,0,4,21,40.5,24.4,69,29.2,09-Sep,9,San Jose,2009
A0928,L. coronata,0,2,10.5,27.5,15.5,60,10.8,09-Sep,9,San Jose,2009
A0924,P. albifrons,1,5,,,,,20.5,09-Sep,10,San Jose,2009
B0395,C. aurita,0,3,15.4,36.8,26.8,68,24.4,09-Sep,10,San Jose,2009
HBA44191,P. bourcieri,0,5,31.3,46.7,,60,4.2,10-Sep,6,San Jose,2009
AA0975,M. oleagineus,1,5,,,,,11,10-Sep,7,San Jose,2009
AA0981,M. oleagineus,0,5,13,28.4,17.3,66,12.1,10-Sep,8,San Jose,2009
