Species,English,Family,Hab,Ev,Abund,Snst,Strat,Ind
Hypocnemis peruviana,Peruvian Warbling Antbird,THAMNOPHILIDAE,T/V/S,S/V/M,F,M,U/M,
Cercomacroides serva,Black Antbird,THAMNOPHILIDAE,T,M,U,M,U,
Cercomacroides nigrescens,Blackish Antbird,THAMNOPHILIDAE,T/S,M,U,M,U,
Cercomacra cinerascens,Grey Antbird,THAMNOPHILIDAE,T,M,U,H,C,
Myrmoborus myotherinus,Black-faced Antbird,THAMNOPHILIDAE,T,M,F,H,U,I
Sclateria naevia,Silvered Antbird,THAMNOPHILIDAE,V,M,U,M,T,
Myrmelastes leucostigma,Spot-winged Antbird,THAMNOPHILIDAE,T,M (P),U,H,T/U,
Akletos melanoceps,White-shouldered Antbird,THAMNOPHILIDAE,V,M (P),U,M,T,
Hafferia fortis,Sooty Antbird,THAMNOPHILIDAE,T,M (P),U,H,T/U,
Pithys albifrons,White-plumed Antbird,THAMNOPHILIDAE,T,S/M (P),C,H,U,I
Gymnopithys leucaspis,White-cheeked Antbird,THAMNOPHILIDAE,T/S,S/M (P),C,M,U,
Rhegmatorhina melanosticta,Hairy-crested Antbird,THAMNOPHILIDAE,T,M (P),F,H,U,
Hylophylax naevius,Spot-backed Antbird,THAMNOPHILIDAE,T/V,M (P),C,H,U,
Hylophylax punctulatus,Dot-backed Antbird,THAMNOPHILIDAE,V,M,U,M,U,
Willisornis poicilinotus,Common Scale-backed Antbird,THAMNOPHILIDAE,T,M,U,M,U,
Phlegopsis nigromaculata,Black-spotted Bare-eye,THAMNOPHILIDAE,T,M,F,M,U,
Phlegopsis erythroptera,Reddish-winged Bare-eye,THAMNOPHILIDAE,T,S/M (P),F,H,U,
Conopophaga aurita,Chestnut-belted Gnateater,CONOPOPHAGIDAE,T,M,U,H,U,I
Conopophaga peruviana,Ash-throated Gnateater,CONOPOPHAGIDAE,T,M,U,H,U,I
Myrmothera campanisona,Thrush-like Antpitta,GRALLARIIDAE,T,M (P),U,H,T,I
Formicarius colma,Rufous-capped Antthrush,FORMICARIIDAE,T,M (P),U,H,T,I
Formicarius analis,Black-faced Antthrush,FORMICARIIDAE,T/V/S,S/V/M,C,M,T,
Chamaeza nobilis,Striated Antthrush,FORMICARIIDAE,T,S/M (P),U,H,T,I
Sclerurus rufigularis,Short-billed Leaftosser,FURNARIIDAE,T,M,U,H,T,I
Sclerurus caudacutus,Black-tailed Leaftosser,FURNARIIDAE,T,M,U,H,T,I
Certhiasomus stictolaemus,Spot-throated Woodcreeper,FURNARIIDAE,T,M,U,H,M,
Dendrocincla fuliginosa,Plain-brown Woodcreeper,FURNARIIDAE,T/S,S/V/M,C,H,U/M,I
Glyphorynchus spirurus,Wedge-billed Woodcreeper,FURNARIIDAE,T/S,S/V/M (P),C,M,U/M,
Dendrocolaptes certhia,Amazonian Barred Woodcreeper,FURNARIIDAE,T,M,U,H,U/M,I
Dendrocolaptes picumnus,Black-banded Woodcreeper,FURNARIIDAE,T/S,M,U,H,M,
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,FURNARIIDAE,T,S/M,U,H,M/C,
Xiphorhychus obsoletus,Striped Woodcreeper,FURNARIIDAE,V,M,U,M,U/M,
Xiphorhychus ocellatus,Ocellated Woodcreeper,FURNARIIDAE,T,M (P),F,H,U/M,
Xiphorhychus elegans,Elegant Woodcreeper,FURNARIIDAE,T,S/M (P),C,H,U/M,
Xiphorhychus guttatus,Buff-throated Woodcreeper,FURNARIIDAE,T/V/S,M,F,L,U/C,
Xenops minutus,Plain Xenops,FURNARIIDAE,T/S,M (P),F,M,U/M,
Philydor erythrocercum,Rufous-rumped Foliage-gleaner,FURNARIIDAE,T,S/M (P),U,H,M,
Philydor erythropterum,Chestnut-winged Foliage-gleaner,FURNARIIDAE,T,S,U,H,C,
Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner,FURNARIIDAE,T/V,S/M (P),U,H,M,
Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,FURNARIIDAE,T,M,R,H,M,
Ancistrops strigilatus,Chestnut-winged Hookbill,FURNARIIDAE,T,S/M,U,H,M/C,
Clibanornis rubiginosus,Ruddy Foliage-gleaner,FURNARIIDAE,T,M (P),U,M,U,
Automolus melanopezus,Brown-rumped Foliage-gleaner,FURNARIIDAE,T/V,M (P),U,H,U,
Automolus ochrolaemus,Buff-throated Foliage-gleaner,FURNARIIDAE,T,M,U,M,U,
Automolus subulatus,Striped Woodhaunter,FURNARIIDAE,T/S,M (P),U,H,M,
Automolus infuscatus,Olive-backed Foliage-gleaner,FURNARIIDAE,T,M,U,H,U,I
Cranioleuca gutturata,Speckled Spinetail,FURNARIIDAE,T/S,S,R,H,C,
Elaenia gigas,Mottle-backed Elaenia,TYRANNIDAE,S,M,U,L,C,
Corythopis torquatus,Ringed Antpipit,TYRANNIDAE,T,M,U,H,T,I
Zimmerius chrysops,Golden-faced Tyrannulet,TYRANNIDAE,S,S,U,M,C,
Mionectes olivaceus,Olive-striped Flycatcher,TYRANNIDAE,T/S,M (P),F,M,U/M,
Mionectes oleagineus,Ochre-bellied Flycatcher,TYRANNIDAE,T/V/S,M,C,M,U/C,
Lophotriccus vitiosus,Double-banded Pygmy Tyrant,TYRANNIDAE,T/V,M,R,M,U/M,
Poecilotriccus capitalis,Black-and-white Tody-Flycatcher,TYRANNIDAE,T/V,M,R,M,U/C,
Cnipodectes subbrunneus,Brownish Twistwing,TYRANNIDAE,T,M,R,H,U,I
Rhynchocyclus olivaceus,Olivaceous Flatbill,TYRANNIDAE,T,M,U,H,M,
Tolmomyias assimilis,Yellow-margined Flycatcher,TYRANNIDAE,T,M (P),U,H,C,
Tolmomyias poliocephalus,Grey-crowned Flycatcher,TYRANNIDAE,V/T,M,U,M,C,
Platyrinchus coronatus,Golden-crowned Spadebill,TYRANNIDAE,T,M,U,H,U/M,I
Onychorhynchus coronatus,Royal Flycatcher,TYRANNIDAE,T/V,M (P),R,H,M,
Myiobius barbatus,Sulphur-rumped Flycatcher,TYRANNIDAE,T,M,U,H,U/M,I
Terenotriccus erythrurus,Ruddy-tailed Flycatcher,TYRANNIDAE,T,S/M (P),U,M,M/C,
Sayornis nigricans,Black Phoebe,TYRANNIDAE,R,S,R,L,T/C,
Ochthornis littoralis,Drab Water Tyrant,TYRANNIDAE,R,S,C,M,T/U,
Myiozetetes similis,Social Flycatcher,TYRANNIDAE,S/T,S,U,L,M/C,
Myiozetetes luteiventris,Dusky-chested Flycatcher,TYRANNIDAE,S/V,S,U,M,C,
Pitangus sulphuratus,Great Kiskadee,TYRANNIDAE,R/S,S/V,C,L,T/C,
Pitangus lictor,Lesser Kiskadee,TYRANNIDAE,R,S/V,F,L,U,
Myiodynastes maculatus,Streaked Flycatcher,TYRANNIDAE,S/T,S,U,L,M/C,
Megarynchus pitangua,Boat-billed Flycatcher,TYRANNIDAE,R/S,S/V,C,L,C,
Tyrannopsis sulphurea,Sulphury Flycatcher,TYRANNIDAE,S,S,R,M,C,
Tyrannus melancholicus,Tropical Kingbird,TYRANNIDAE,S/T/R,S,C,L,C,
Myiarchus tuberculifer,Dusky-capped Flycatcher,TYRANNIDAE,T/S,M,U,L,M/C,
Attila spadiceus,Bright-rumped Attila,TYRANNIDAE,T,S,U,M,M/C,
Querula purpurata,Purple-throated Fruitcrow,COTINGIDAE,T,S,U,M,C,
